,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
170,2,36,14,34,29,35,37,21,7,4,25,28,5,6,0,0,0,0
171,2,14,29,37,21,4,30,5,6,0,0,0,0,0,0,0,0,0
172,2,16,36,14,34,10,29,35,37,21,7,4,25,28,30,5,6,0
173,22,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2,36,14,34,29,35,37,21,7,4,28,5,6,0,0,0,0,0
175,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2,14,10,29,37,21,4,30,5,6,0,0,0,0,0,0,0,0
177,2,36,14,34,29,35,37,21,7,4,25,28,5,6,0,0,0,0
178,2,16,14,29,37,21,4,30,5,6,0,0,0,0,0,0,0,0
179,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
